code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E06000058,"Bournemouth, Christchurch and Poole UA",22000.0,23900.0,16400.0,146000.0,31700.0,24500.0,57000.0,20700.0,17000.0,201000.0,34900.0,25600.0,201000.0,5250.0,2320.0,1055250000.0,525800000.0,4628200000.0,1179900000.0,7014900000.0
E06000059,Dorset UA,24000.0,23400.0,15000.0,129000.0,30900.0,24400.0,79000.0,21400.0,17700.0,198000.0,35600.0,26300.0,198000.0,5410.0,2470.0,1071180000.0,561600000.0,3986100000.0,1690600000.0,7048800000.0
E06000060,Buckinghamshire UA,36000.0,39100.0,17000.0,228000.0,49200.0,30500.0,85000.0,24600.0,18400.0,309000.0,53600.0,32700.0,309000.0,11800.0,3510.0,3646200000.0,1407600000.0,11217600000.0,2091000000.0,16562400000.0
E06000061,North Northamptonshire UA,18000.0,23900.0,17600.0,145000.0,32500.0,25800.0,39000.0,19600.0,17100.0,183000.0,34500.0,26800.0,183000.0,5100.0,2590.0,933300000.0,430200000.0,4712500000.0,764400000.0,6313500000.0
E06000062,West Northamptonshire UA,27000.0,29100.0,18600.0,177000.0,34600.0,26700.0,54000.0,18800.0,16000.0,230000.0,37200.0,27400.0,230000.0,5940.0,2690.0,1366200000.0,785700000.0,6124200000.0,1015200000.0,8556000000.0
E06000063,Cumberland,,,,,,,,,,,,,,,,,,,,
E06000064,Westmorland and Furness,,,,,,,,,,,,,,,,,,,,
E06000065,North Yorkshire,,,,,,,,,,,,,,,,,,,,
E06000066,Somerset,,,,,,,,,,,,,,,,,,,,
E07000008,Cambridge,8000.0,31000.0,12400.0,58000.0,45800.0,31400.0,11000.0,23300.0,18400.0,69000.0,49200.0,32200.0,69000.0,10100.0,3420.0,696900000.0,248000000.0,2656400000.0,256300000.0,3394800000.0
E07000009,East Cambridgeshire,6000.0,25800.0,18300.0,38000.0,37800.0,29700.0,13000.0,19700.0,16000.0,50000.0,40200.0,30500.0,50000.0,6820.0,3240.0,341000000.0,154800000.0,1436400000.0,256100000.0,2010000000.0
E07000010,Fenland,5000.0,23700.0,19900.0,40000.0,30100.0,25900.0,13000.0,16700.0,15900.0,52000.0,30700.0,25500.0,52000.0,3850.0,2390.0,200200000.0,118500000.0,1204000000.0,217100000.0,1596400000.0
E07000011,Huntingdonshire,10000.0,26600.0,15700.0,72000.0,36800.0,28800.0,25000.0,20600.0,17000.0,95000.0,38900.0,29500.0,95000.0,6420.0,2980.0,609900000.0,266000000.0,2649600000.0,515000000.0,3695500000.0
E07000012,South Cambridgeshire,12000.0,27800.0,14100.0,73000.0,46100.0,31100.0,25000.0,22100.0,17300.0,97000.0,48700.0,32400.0,97000.0,9860.0,3430.0,956420000.0,333600000.0,3365300000.0,552500000.0,4723900000.0
E07000032,Amber Valley,6000.0,20400.0,14400.0,49000.0,32100.0,24900.0,18000.0,18900.0,17000.0,65000.0,33900.0,25200.0,65000.0,4950.0,2290.0,321750000.0,122400000.0,1572900000.0,340200000.0,2203500000.0
E07000033,Bolsover,3000.0,22500.0,17900.0,28000.0,28200.0,23400.0,12000.0,16300.0,16000.0,38000.0,28900.0,22900.0,38000.0,3430.0,1940.0,130340000.0,67500000.0,789600000.0,195600000.0,1098200000.0
E07000034,Chesterfield,4000.0,20100.0,14100.0,37000.0,30100.0,24900.0,16000.0,17800.0,15700.0,52000.0,29900.0,24000.0,52000.0,3580.0,2080.0,186160000.0,80400000.0,1113700000.0,284800000.0,1554800000.0
E07000035,Derbyshire Dales,5000.0,21900.0,14200.0,26000.0,33100.0,23300.0,16000.0,20500.0,16900.0,40000.0,37800.0,25900.0,40000.0,6140.0,2210.0,245600000.0,109500000.0,860600000.0,328000000.0,1512000000.0
E07000036,Erewash,4000.0,21000.0,16500.0,44000.0,29800.0,23600.0,16000.0,17000.0,15700.0,58000.0,31300.0,24500.0,58000.0,3940.0,2160.0,228520000.0,84000000.0,1311200000.0,272000000.0,1815400000.0
E07000037,High Peak,5000.0,22600.0,16300.0,34000.0,32000.0,25100.0,16000.0,19900.0,16700.0,47000.0,34600.0,26300.0,47000.0,4960.0,2340.0,233120000.0,113000000.0,1088000000.0,318400000.0,1626200000.0
E07000038,North East Derbyshire,4000.0,20300.0,16700.0,38000.0,31700.0,26700.0,16000.0,19000.0,17600.0,52000.0,33200.0,26700.0,52000.0,4570.0,2490.0,237640000.0,81200000.0,1204600000.0,304000000.0,1726400000.0
E07000039,South Derbyshire,5000.0,24300.0,17500.0,45000.0,33900.0,26500.0,16000.0,19400.0,16600.0,59000.0,36100.0,27000.0,59000.0,5560.0,2570.0,328040000.0,121500000.0,1525500000.0,310400000.0,2129900000.0
E07000040,East Devon,10000.0,25500.0,16800.0,47000.0,32100.0,24100.0,30000.0,21700.0,17900.0,76000.0,35900.0,26300.0,76000.0,5570.0,2490.0,423320000.0,255000000.0,1508700000.0,651000000.0,2728400000.0
E07000041,Exeter,7000.0,22200.0,16000.0,46000.0,32500.0,27100.0,15000.0,20400.0,16800.0,60000.0,34900.0,27600.0,60000.0,4960.0,2780.0,297600000.0,155400000.0,1495000000.0,306000000.0,2094000000.0
