code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E09000032,Wandsworth,22,"82,600","16,400",158,"70,100","38,600",19,"24,000","17,900",182,"79,700","40,200",182,"21,900","4,960","3,990"
E09000033,Westminster,12,"200,000","18,100",85,"107,000","38,600",14,"31,700","16,400",102,"133,000","41,200",102,"44,300","5,260","4,500"
E12000008,South East,563,"31,300","17,000","3,570","41,900","28,300","1,310","22,100","17,800","4,830","44,700","29,700","4,830","8,580","3,010","41,400"
E06000036,Bracknell Forest UA,5,"26,600","18,400",55,"42,900","31,200",15,"20,900","17,600",68,"44,300","32,500",68,"8,200","3,530",559
E06000043,Brighton and Hove UA,20,"25,300","17,200",102,"38,800","27,900",28,"19,500","16,300",134,"42,100","29,700",134,"7,360","2,950",988
E06000060,Buckinghamshire UA,36,"39,100","17,000",228,"49,200","30,500",85,"24,600","18,400",309,"53,600","32,700",309,"11,800","3,510","3,630"
E06000046,Isle of Wight UA,8,"21,500","15,900",45,"27,900","22,400",24,"19,700","16,600",66,"31,500","24,800",66,"4,160","2,120",273
E06000035,Medway Towns UA,16,"21,600","18,100",106,"33,900","28,100",31,"18,500","17,200",138,"34,500","28,000",138,"4,790","2,750",663
E06000042,Milton Keynes UA,14,"20,600","15,500",119,"37,000","27,900",27,"19,200","16,100",143,"38,600","29,200",143,"6,280","2,950",900
E06000044,Portsmouth UA,11,"21,700","18,700",74,"30,400","24,900",21,"17,900","16,100",95,"31,900","25,500",95,"4,130","2,360",393
E06000038,Reading UA,8,"23,200","16,300",70,"39,900","29,800",13,"21,400","18,100",84,"41,100","30,400",84,"7,200","3,250",604
E06000039,Slough UA,9,"19,200","16,500",57,"33,300","27,300",8,"15,300","14,000",67,"34,600","27,700",67,"4,920","2,740",328
E06000045,Southampton UA,12,"20,500","16,500",93,"29,900","25,600",22,"17,100","15,100",115,"30,900","25,500",115,"3,870","2,370",445
E06000037,West Berkshire UA,10,"33,100","17,200",70,"42,900","27,900",25,"22,500","17,700",92,"46,800","30,600",92,"9,210","3,110",843
E06000040,Windsor and Maidenhead UA,9,"37,800","15,900",66,"59,500","34,500",23,"26,000","20,100",88,"61,800","35,700",88,"14,900","4,050","1,300"
E06000041,Wokingham UA,9,"28,900","17,300",73,"52,500","34,700",22,"25,000","21,400",95,"53,200","35,800",95,"11,500","4,080","1,100"
