code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E14000748,High Peak,5,"22,600","16,300",34,"32,000","25,100",16,"19,900","16,700",47,"34,600","26,300",47,"4,960","2,340",235
E14000749,Hitchin and Harpenden,7,"70,900","17,300",44,"63,400","35,900",17,"25,300","20,800",61,"66,100","35,400",61,"16,800","4,000","1,020"
E14000750,Holborn and St Pancras,9,"114,000","20,300",51,"67,300","35,200",9,"24,700","16,900",63,"81,800","36,900",63,"22,900","4,370","1,440"
E14000751,Hornchurch and Upminster,7,"26,300","17,100",45,"43,400","31,600",13,"20,600","17,300",59,"43,700","31,600",59,"8,010","3,440",474
E14000752,Hornsey and Wood Green,13,"64,700","15,400",51,"70,500","34,400",10,"26,700","20,200",65,"79,400","37,000",65,"22,100","4,300","1,440"
E14000753,Horsham,8,"28,800","16,700",47,"44,100","32,000",18,"23,900","18,300",65,"46,400","33,300",65,"8,830","3,630",572
E14000754,Houghton and Sunderland South,3,"21,900","15,400",31,"27,500","24,300",13,"15,700","15,200",40,"28,700","24,000",40,"3,300","2,110",133
E14000755,Hove,8,"27,200","17,100",40,"40,400","28,800",10,"19,500","15,600",53,"44,500","30,700",53,"8,230","3,110",434
E14000756,Huddersfield,3,"20,900","15,400",31,"29,000","23,000",10,"19,500","17,200",40,"30,800","24,400",40,"3,770","2,110",151
E14000757,Huntingdon,7,"26,400","14,400",51,"36,700","28,400",16,"20,700","18,100",65,"38,800","29,000",65,"6,370","2,960",415
E14000758,Hyndburn,3,"21,100","17,700",30,"27,600","24,600",9,"16,100","15,500",38,"28,800","24,700",38,"3,190","2,200",120
E14000759,Ilford North,10,"23,000","19,100",40,"39,300","30,800",9,"17,800","16,200",53,"40,500","31,500",53,"6,690","3,350",356
E14000760,Ilford South,10,"22,000","19,200",45,"34,800","28,300",8,"17,400","16,300",58,"35,900","28,900",58,"5,220","2,910",305
E14000761,Ipswich,5,"22,000","18,000",46,"30,500","25,100",13,"18,500","15,600",58,"31,100","24,800",58,"4,070","2,200",237
E14000762,Isle of Wight,8,"21,500","15,900",45,"27,900","22,400",24,"19,700","16,600",66,"31,500","24,800",66,"4,160","2,120",273
E14000763,Islington North,8,"53,900","15,100",48,"58,400","34,300",5,"21,400","15,700",55,"65,700","35,700",55,"16,600","4,230",906
E14000764,Islington South and Finsbury,7,"102,000","16,500",48,"76,200","41,700",5,"26,700","18,900",55,"87,500","43,100",55,"24,900","5,620","1,360"
E14000765,Jarrow,2,"24,800","19,800",32,"29,800","25,100",11,"16,200","14,400",40,"30,800","25,700",40,"3,780","2,380",151
E14000766,Keighley,5,"32,300","16,000",31,"33,800","25,000",12,"21,600","17,600",43,"37,700","27,100",43,"6,150","2,480",264
E14000767,Kenilworth and Southam,5,"26,800","17,200",37,"42,300","31,100",19,"23,000","18,300",53,"45,700","32,300",53,"8,600","3,320",455
E14000768,Kensington,8,"276,000","17,000",42,"140,000","37,200",8,"32,500","15,700",52,"192,000","42,900",52,"65,000","5,270","3,370"
E14000769,Kettering,6,"23,300","19,100",43,"33,500","26,300",13,"19,500","17,200",57,"34,300","26,000",57,"5,010","2,520",284
E14000770,Kingston and Surbiton,8,"27,300","15,100",46,"49,500","33,000",12,"22,000","18,100",58,"50,400","33,600",58,"10,500","3,670",613
E14000771,Kingston upon Hull East,3,"16,300","14,200",32,"25,400","23,000",10,"15,800","15,300",39,"26,600","23,000",39,"2,740","1,880",108
E14000772,Kingston upon Hull North,3,"17,800","13,800",36,"26,900","22,900",8,"15,300","14,400",42,"27,700","23,200",42,"2,960","1,890",124
E14000773,Kingston upon Hull West and Hessle,3,"16,900","13,400",36,"26,400","23,300",7,"15,900","14,300",41,"27,800","23,500",41,"3,060","1,990",125
E14000774,Kingswood,5,"19,500","15,600",37,"32,600","27,500",11,"18,900","17,500",48,"33,900","27,600",48,"4,590","2,730",220
E14000775,Knowsley,4,"19,400","17,300",42,"27,400","23,900",9,"15,200","14,300",50,"28,800","24,500",50,"3,270","2,110",163
E14000776,Lancaster and Fleetwood,5,"20,000","11,500",28,"30,500","23,300",13,"18,000","15,800",39,"32,500","24,900",39,"4,370","2,170",170
E14000777,Leeds Central,4,"18,900","14,300",48,"29,300","25,500",7,"13,000","13,600",54,"29,400","25,100",54,"3,460","2,320",187
E14000778,Leeds East,4,"23,500","21,200",35,"28,400","23,900",11,"14,800","15,400",46,"28,400","23,100",46,"3,280","1,960",150
E14000779,Leeds North East,5,"29,900","16,100",35,"39,600","31,000",12,"21,900","18,700",46,"42,300","31,000",46,"7,220","3,290",334
E14000780,Leeds North West,4,"32,700","14,000",30,"35,700","27,000",13,"22,300","19,900",42,"39,400","27,600",42,"6,510","2,730",273
E14000781,Leeds West,4,"18,100","16,400",36,"27,900","24,900",8,"15,400","15,600",43,"28,600","24,900",43,"3,180","2,250",137
E14000782,Leicester East,3,"17,200","15,300",38,"24,500","21,100",8,"15,800","15,600",45,"26,000","21,400",45,"2,620","1,580",117
E14000783,Leicester South,4,"18,900","13,900",37,"28,100","22,800",7,"19,100","15,800",44,"30,300","24,000",44,"3,830","2,090",168
E14000784,Leicester West,3,"18,100","16,800",40,"26,500","22,800",6,"15,200","14,300",46,"26,800","22,700",46,"2,840","1,920",130
E14000785,Leigh,5,"19,400","18,000",43,"30,500","27,200",13,"16,200","16,500",56,"30,600","26,300",56,"3,630","2,390",202
E14000786,Lewes,7,"28,300","16,800",31,"35,300","25,300",17,"23,800","18,500",47,"41,500","28,900",47,"7,300","2,840",343
E14000787,Lewisham East,7,"31,500","17,700",43,"44,000","31,700",7,"18,800","16,600",51,"46,000","32,000",51,"8,980","3,390",460
E14000788,Lewisham West and Penge,8,"28,100","16,700",47,"43,800","31,500",9,"21,200","17,200",57,"45,500","31,800",57,"8,690","3,440",498
E14000789,"Lewisham, Deptford",8,"26,400","16,000",57,"42,900","32,900",6,"17,700","16,100",66,"44,300","32,900",66,"8,200","3,640",538
