code_2010,code_2024,old_population_present
S14000044,S14000095,0.92
S14000044,S14000068,0.08
W07000045,W07000098,1.00
E14000797,E14001342,0.92
E14000797,E14001357,0.08
E14000798,E14001343,0.93
E14000798,E14001114,0.07
E14000799,E14001493,1.00
E14000800,E14001345,1.00
E14000801,E14001346,0.94
E14000801,E14001345,0.06
E14000801,E14001206,0.00
E14000802,E14001347,1.00
E14000803,E14001348,0.75
E14000803,E14001593,0.16
E14000803,E14001210,0.08
E14000804,E14001349,0.67
E14000804,E14001570,0.33
E14000805,E14001350,1.00
E14000806,E14001351,1.00
E14000807,E14001352,0.51
E14000807,E14001353,0.39
E14000807,E14001103,0.10
E14000808,E14001251,0.55
E14000808,E14001353,0.41
E14000808,E14001354,0.04
E14000809,E14001354,0.86
E14000809,E14001251,0.14
E14000810,E14001355,0.95
E14000810,E14001068,0.05
E14000811,E14001233,0.46
E14000811,E14001587,0.24
E14000811,E14001214,0.23
E14000811,E14001263,0.07
E14000812,E14001358,0.65
E14000812,E14001095,0.21
E14000812,E14001479,0.14
W07000071,W07000099,0.79
W07000071,W07000084,0.21
E14000813,E14001359,0.81
E14000813,E14001289,0.16
E14000813,E14001384,0.03
E14000814,E14001362,1.00
E14000814,E14001066,0.00
E14000815,E14001363,1.00
E14000815,E14001485,0.00
E14000816,E14001365,0.82
E14000816,E14001489,0.16
E14000816,E14001497,0.02
E14000817,E14001366,0.70
E14000817,E14001212,0.30
N06000010,N05000010,0.94
N06000010,N05000018,0.05
N06000010,N05000007,0.02
E14000818,E14001203,0.95
E14000818,E14001441,0.05
E14000819,E14001367,0.95
E14000819,E14001368,0.05
E14000820,E14001368,0.91
E14000820,E14001440,0.06
E14000820,E14001367,0.03
S14000045,S14000045,1.00
E14000821,E14001370,0.56
E14000821,E14001369,0.44
E14000822,E14001369,0.44
E14000822,E14001141,0.42
E14000822,E14001370,0.14
E14000823,E14001371,1.00
E14000824,E14001201,0.63
E14000824,E14001258,0.19
E14000824,E14001227,0.13
E14000824,E14001249,0.06
W07000054,W07000101,0.89
W07000054,W07000109,0.11
W07000063,W07000102,1.00
S14000046,S14000098,0.75
S14000046,S14000062,0.25
E14000825,E14001372,0.84
E14000825,E14001318,0.16
E14000826,E14001324,0.67
E14000826,E14001560,0.33
E14000826,E14001323,0.00
S14000047,S14000099,0.80
S14000047,S14000070,0.12
S14000047,S14000063,0.08
S14000027,S14000027,1.00
W07000069,W07000103,0.67
W07000069,W07000085,0.31
W07000069,W07000081,0.02
E14000827,E14001373,1.00
E14000828,E14001374,1.00
E14000829,E14001375,0.94
E14000829,E14001471,0.06
E14000830,E14001376,0.86
E14000830,E14001439,0.14
E14000831,E14001377,0.83
E14000831,E14001379,0.17
E14000832,E14001378,0.70
E14000832,E14001379,0.26
E14000832,E14001377,0.04
E14000833,E14001379,0.43
E14000833,E14001377,0.42
E14000833,E14001285,0.11
E14000833,E14001183,0.05
E14000834,E14001380,1.00
W07000055,W07000104,0.79
W07000055,W07000101,0.21
W07000056,W07000105,0.53
